SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,26/06/2020, , ,19/06/2020,19/06/2020,25/06/2020,INTEREST PAYMENT         
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,27/05/2020, , ,19/05/2020,19/05/2020,26/05/2020,INTEREST PAYMENT         
MI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,26/06/2020, , ,19/06/2020,19/06/2020,25/06/2020,INTEREST PAYMENT         
MI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,27/05/2020, , ,19/05/2020,19/05/2020,26/05/2020,INTEREST PAYMENT         
MJ,SRTRANSFIN,Sec Red NCD 9.10% Sr. III,26/06/2020, , ,19/06/2020,19/06/2020,25/06/2020,INTEREST PAYMENT         
MK,SRTRANSFIN,Sec Red NCD 9.30% Sr. IV,26/06/2020, , ,19/06/2020,19/06/2020,25/06/2020,INTEREST PAYMENT         
ML,SRTRANSFIN,Sec Red NCD 9.40% Sr. V,26/06/2020, , ,25/06/2020, , ,INTEREST PAYMENT         
MO,SRTRANSFIN,Sec Red NCD 9.12% Sr. I,16/06/2020, , ,15/06/2020, , ,INTEREST PAYMENT         
MP,SRTRANSFIN,Sec Red NCD 9.30% Sr. II,16/06/2020, , ,15/06/2020, , ,INTEREST PAYMENT         
MV,SRTRANSFIN,Shriram Transport Finance,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
MW,SRTRANSFIN,Shriram Transport Finance,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
N1,M&MFIN,8.72% Unsecured NCD,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
N2,M&MFIN,9.00% Unsecured NCD,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
N3,MAGMA,Magma Fincorp Limited,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
N3,ICFL,Indiabulls Consumer Finan,26/05/2020, , ,22/05/2020, , ,INTEREST PAYMENT         
N3,TATACAPHSG,Sec Red NCD 7.92% Sr.II,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
N4,TATACAPHSG,Sec Red NCD 8.01% Sr.II,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
N6,MAGMA,Magma Fincorp Limited,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
N6,ICFL,Indiabulls Consumer Finan,26/05/2020, , ,22/05/2020, , ,INTEREST PAYMENT         
N7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,10/06/2020, , ,09/06/2020, , ,INTEREST PAYMENT         
N7,TATACAPHSG,Sec Red NCD 8.01% Sr.IV,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
N8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,18/06/2020, , ,17/06/2020, , ,INTEREST PAYMENT         
N8,TATACAPHSG,Sec Red NCD 8.10% Sr.IV,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
NA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,10/06/2020, , ,09/06/2020, , ,INTEREST PAYMENT         
NB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,10/06/2020, , ,09/06/2020, , ,INTEREST PAYMENT         
NC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,18/06/2020, , ,17/06/2020, , ,INTEREST PAYMENT         
NF,IIFLFIN,India Infoline Finance Li,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
NH,IIFLFIN,India Infoline Finance Li,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
NI,SREIBNPNCD,9.11% SRNCD Sr V A,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
NJ,SREIBNPNCD,9.35% SRNCD Sr V B,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
NL,ICFL,Sec Red NCD 9.81% Sr. IV,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
NO,SREIBNPNCD,Uns Red NCD 9.25% Sr. I,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
NO,ICFL,Sec Red NCD 10.04% Sr.VII,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
NR,SREIBNPNCD,Uns Red NCD 9.35% Sr. IV,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
NU,SREIBNPNCD,Uns Red NCD 9.50% Sr. VII,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
NX,SREIBNPNCD,Sec Red NCD 9.60% Sr. V,25/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
U1,M&MFIN,8.72% Unsecured NCD,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
U2,M&MFIN,9.00% Unsecured NCD,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
U3,TATACAPHSG,Sec Red NCD 7.92% Sr.II,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
U3,MAGMA,Magma Fincorp Limited,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
U3,ICFL,Indiabulls Consumer Finan,26/05/2020, , ,22/05/2020, , ,INTEREST PAYMENT         
U4,TATACAPHSG,Sec Red NCD 8.01% Sr.II,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
U6,MAGMA,Magma Fincorp Limited,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
U6,ICFL,Indiabulls Consumer Finan,26/05/2020, , ,22/05/2020, , ,INTEREST PAYMENT         
U7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,10/06/2020, , ,09/06/2020, , ,INTEREST PAYMENT         
U7,TATACAPHSG,Sec Red NCD 8.01% Sr.IV,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
U8,TATACAPHSG,Sec Red NCD 8.10% Sr.IV,30/05/2020, , ,28/05/2020, , ,INTEREST PAYMENT         
U8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,18/06/2020, , ,17/06/2020, , ,INTEREST PAYMENT         
UA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,10/06/2020, , ,09/06/2020, , ,INTEREST PAYMENT         
UB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,10/06/2020, , ,09/06/2020, , ,INTEREST PAYMENT         
UC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,18/06/2020, , ,17/06/2020, , ,INTEREST PAYMENT         
UF,IIFLFIN,India Infoline Finance Li,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
UH,IIFLFIN,India Infoline Finance Li,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
UI,SREIBNPNCD,9.11% SRNCD Sr V A,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
UJ,SREIBNPNCD,9.35% SRNCD Sr V B,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
UL,ICFL,Sec Red NCD 9.81% Sr. IV,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
UO,SREIBNPNCD,Uns Red NCD 9.25% Sr. I,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
UO,ICFL,Sec Red NCD 10.04% Sr.VII,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
UR,SREIBNPNCD,Uns Red NCD 9.35% Sr. IV,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
UU,SREIBNPNCD,Uns Red NCD 9.50% Sr. VII,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
UX,SREIBNPNCD,Sec Red NCD 9.60% Sr. V,25/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
Y1,SREIBNPNCD,Sec Red NCD 9.12% Sr. VI,25/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
Y4,SREIBNPNCD,Sec Red NCD 8.43% Sr. III,28/05/2020, , ,27/05/2020, , ,INTEREST PAYMENT         
Y7,SREIBNPNCD,Sec Red NCD 8.65% Sr. VI,28/05/2020, , ,27/05/2020, , ,INTEREST PAYMENT         
