MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N9,IBUCCREDIT,SERENCD9.00%SRVCIII&IV,       765.00,       765.00,       765.00,       765.00,       765.00,                    15300.00,20, ,1,       935.00,       481.00
N,N9,IDFCFIRSTB,BOND 9% 2021 TR-1 SR-I,      5050.00,      5050.00,      5050.00,      5021.11,      5021.11,                    30184.44,6, ,2,      5799.00,      4380.20
N,N9,IRFC,BOND 8.48% PA TF TI-SIB,      1181.29,      1214.00,      1214.00,      1210.00,      1210.00,                    48500.00,40, ,6,      1250.00,      1066.00
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1280.00,      1281.00,      1284.99,      1281.00,      1281.99,                    51279.90,40, ,2,      1299.00,      1100.00
N,NA,IBULHSGFIN,SEC RED NCD 9.0% SR. VI,       498.99,       498.99,       510.00,       498.98,       499.00,                  1525046.45,3056, ,44,      1002.00,       451.00
N,NA,IDFCFIRSTB,BOND 0% 2021 TR-1 SR-II,     10150.00,     10085.01,     10085.01,     10085.01,     10085.01,                    40340.04,4, ,1,     10300.00,      7900.00
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1292.00,      1290.00,      1290.00,      1290.00,      1290.00,                   167700.00,130, ,3,      1530.00,      1173.20
N,NA,L&TFINANCE,SE RE NCD SR.II OPII,      1075.33,      1100.00,      1128.00,      1100.00,      1128.00,                    44560.00,40, ,3,      1132.50,       981.00
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1222.42,      1223.00,      1228.53,      1219.10,      1226.71,                   279673.52,228, ,9,      1240.00,      1095.60
N,NA,TCFSL,SERENCD8.70%SRICI&II,      1127.25,      1100.00,      1100.00,      1068.00,      1068.00,                    10840.00,10, ,2,      1127.25,       895.00
N,NB,NTPC,TFB 7.36% 2025 SR. 1B,      1185.00,      1153.00,      1153.00,      1153.00,      1153.00,                    11530.00,10, ,1,      1280.00,      1000.00
N,NB,TATACAPHSG,UN SE RE NCD 8.55% SR.VI,      1048.49,      1060.00,      1060.01,      1060.00,      1060.00,                   434600.10,410, ,18,      1146.90,       901.00
N,NB,TCFSL,SERENCD8.80%SRICIII&IV,      1059.00,      1055.12,      1062.00,      1055.11,      1060.51,                   345490.46,326, ,16,      1100.00,       867.40
N,NC,DHFL,SEC RED NCD 9.30% SR. 6B,       266.00,       219.95,       230.00,       219.95,       230.00,                    15859.95,69, ,2,       714.90,       117.00
N,NC,IDFCFIRSTB,BOND 0% 2022 TR-2 SR-II,      9750.00,      9605.01,      9650.01,      9605.01,      9650.01,                    38510.04,4, ,2,      9780.00,      7820.90
N,NC,L&TFINANCE,SERENCD 9.25% SR.III OPII,      1031.00,      1032.00,      1034.00,      1027.00,      1030.81,                   190936.00,185, ,13,      1180.00,       932.00
N,NC,NHAI,TAX FREE 7.29% SR. IB,      1155.00,      1190.00,      1190.00,      1190.00,      1190.00,                    26180.00,22, ,3,      1190.00,      1050.00
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1311.00,      1306.00,      1306.00,      1306.00,      1306.00,                   101868.00,78, ,3,      1344.00,      1170.00
N,ND,IIFLFIN,SEC RED NCD 9.60% SR. I,      1011.30,      1011.50,      1011.50,      1011.50,      1011.50,                   250852.00,248, ,3,      1089.00,       780.20
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1271.85,      1290.00,      1290.00,      1290.00,      1290.00,                    20640.00,16, ,3,      1414.90,      1143.60
N,ND,TCFSL,SERENCD8.90%SRIICIII&IV,      1070.76,      1073.00,      1074.00,      1073.00,      1074.00,                   246952.50,230, ,6,      1104.00,       951.40
N,NE,ECLFINANCE,SEC RED NCD SR. I,       945.00,       971.02,       995.00,       970.01,       995.00,                    50713.42,52, ,9,      1150.00,       643.01
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1419.99,      1414.00,      1420.00,      1412.00,      1419.77,                   249522.00,176, ,12,      1499.00,      1253.00
N,NE,IBULHSGFIN,UNS RED NCD 9.15% SR.IX,       537.28,       536.00,       536.00,       536.00,       536.00,                    26800.00,50, ,3,       960.00,       405.00
N,NE,IIFLFIN,SEC RED NCD SR. II,      1106.10,      1004.00,      1106.70,      1004.00,      1106.70,                    21107.00,20, ,2,      1109.75,       801.20
N,NE,IRFC,BOND 8.88% PA TF TII-SIIB,      1299.00,      1299.00,      1304.00,      1298.00,      1299.00,                  1527639.00,1176, ,17,      1430.00,      1070.10
N,NF,ECLFINANCE,SEC RED NCD 9.45% SR. II,       869.90,       870.00,       876.00,       870.00,       874.78,                   280338.03,321, ,21,      1079.95,       670.05
N,NF,IIFLFIN,SEC RED NCD 9.75% SR. III,       994.99,       982.00,       994.70,       981.00,       994.70,                  1037915.86,1050, ,19,      1000.00,       800.00
N,NF,IRFC,TAX FREE 7.07% SR. 102,      1105.00,      1102.50,      1102.50,      1102.50,      1102.50,                     1102.50,1, ,1,      1160.00,      1078.00
N,NG,ECLFINANCE,SEC RED NCD 9.25% SR. III,       825.00,       823.00,       830.00,       751.21,       813.56,                   250639.17,306, ,31,       999.00,       715.00
N,NG,IIFLFIN,SEC RED NCD 10.20% SR. IV,      1018.00,      1018.45,      1018.45,      1018.45,      1018.45,                    58051.65,57, ,2,      1087.00,       850.00
