MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       104.23,       100.20,       105.00,        99.55,       102.56,                  5194255.11,50855,677,       188.00,        85.95,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        42.51,        42.30,        43.30,        42.30,        42.88,                  2221947.11,51709,1409,        49.51,        27.20,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,       999.99,       996.80,      1000.00,       805.95,      1000.00,                  8872731.33,8931,41,      1200.00,       805.95,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,        77.71,        79.99,        79.99,        77.10,        77.69,                   495787.69,6391,138,       107.80,        61.00,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,        48.89,        48.65,        51.39,        48.62,        49.59,                   121076.36,2471,20,        75.00,        45.10,NIFTY MIDCAP 150
N,EQ,ICICIMCAP,ICICI PRUD MIDCAP SEL ETF,        49.08,        51.00,        51.00,        49.05,        49.60,                    71187.24,1440,53,        79.00,        37.60,S&P BSE MIDCAP SELECT INDEX
N,EQ,ICICINF100,ICICI PRUD NIFTY 100 ETF,       107.97,       103.70,       107.89,       103.01,       107.00,                   120198.49,1137,50,       150.00,        90.10,NIFTY 100
N,EQ,ICICINIFTY,ICICI PRUD NIFTY ETF,        93.93,        95.00,        96.50,        93.25,        95.73,                 20898856.45,220915,5591,       141.00,        81.31,NIFTY50
N,EQ,ICICINV20,ICICI PRUDENTIAL NV20 ETF,        47.00,        47.95,        48.46,        46.50,        46.86,                   176660.80,3782,159,        68.50,        32.89,NIFTY50 VALUE 20
N,EQ,ICICINXT50,ICICIPRAMC - ICICINXT50,        23.38,        23.38,        23.95,        22.23,        23.32,                   479582.64,20722,189,        32.77,        17.00,NIFTY NEXT 50 ETF
N,EQ,ICICISENSX,ICICI PRUD SENSEX ETF,       329.18,       329.00,       330.00,       327.01,       329.92,                   119316.56,362,52,       515.00,       290.00,SENSEX
N,EQ,IDBIGOLD,IDBI MF - IDBI GOLD ETF,      4416.00,      4497.00,      4497.00,      4402.00,      4456.70,                   142964.05,32,18,      4750.00,      2907.05,GOLD
N,EQ,IDFNIFTYET,IDFCAMC - IDFNIFTYET,        95.75,        92.25,        96.50,        92.25,        96.50,                     3970.75,42,6,       133.00,        86.00,NIFTY 50
N,EQ,INFRABEES,NIPP INDIA ETF INFRA BEES,       276.32,       280.08,       281.85,       276.37,       281.85,                   420790.95,1508,31,       373.50,       210.00,NIFTY INFRA
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,      4330.05,      4330.05,      4330.05,      4330.00,      4330.00,                     8660.05,2,2,      4701.00,      2852.00,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,       940.75,       978.30,       978.30,       978.30,       978.30,                    14674.50,15,1,      1340.00,       778.00,NIFTY
N,EQ,JUNIORBEES,NIP INDIA ETF JUNIOR BEES,       235.94,       240.00,       241.25,       235.00,       240.47,                  8647137.14,36289,2156,       333.00,       180.40,NIFTY NEXT 50
N,EQ,KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,       175.57,       179.78,       181.50,       174.73,       179.59,                 25820406.50,145232,2855,       365.70,       167.00,NIFTY BANK
N,EQ,KOTAKGOLD,KOTAK GOLD ETF,       414.75,       419.10,       422.50,       418.40,       420.50,                 10043501.15,23898,723,       476.70,       275.05,GOLD
N,EQ,KOTAKNIFTY,KOTAK NIFTY ETF,        92.58,        92.58,        94.60,        92.50,        94.15,                  3615594.38,38748,509,       149.30,        81.01,NIFTY 50
