Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
867,LYKALABS,EQ,8779,6954,79.21
868,LYPSAGEMS,EQ,6790,6790,100.00
869,M100,EQ,26876,18879,70.24
870,M14RG,MF,8010,5010,62.55
871,M50,EQ,1954,1083,55.42
872,MAANALU,EQ,1453,767,52.79
873,MACPOWER,SM,2000,2000,100.00
874,MADHAV,EQ,352,352,100.00
875,MAGADSUGAR,EQ,49037,27189,55.45
876,MAGMA,EQ,1171676,823283,70.27
877,MAGMA,N3,125,125,100.00
878,MAHABANK,EQ,731217,272768,37.30
879,MAHEPC,EQ,135829,60159,44.29
880,MAHESHWARI,EQ,34,0,0.00
881,MAHINDCIE,EQ,86387,56796,65.75
882,MAHLIFE,EQ,25772,21762,84.44
883,MAHLOG,EQ,57262,22438,39.18
884,MAHSCOOTER,EQ,9595,6127,63.86
885,MAHSEAMLES,EQ,34024,25261,74.24
886,MAITHANALL,EQ,16364,14842,90.70
887,MAJESCO,EQ,3686,2944,79.87
888,MALUPAPER,EQ,7804,5317,68.13
889,MAN50ETF,EQ,69779,28689,41.11
890,MANAKALUCO,EQ,18213,15653,85.94
891,MANAKCOAT,EQ,136,136,100.00
892,MANAKSTEEL,EQ,6225,4732,76.02
893,MANALIPETC,EQ,64340,38222,59.41
894,MANAPPURAM,EQ,10166367,2095252,20.61
895,MANGCHEFER,EQ,163206,107476,65.85
896,MANGLMCEM,EQ,27276,10343,37.92
897,MANGTIMBER,EQ,15,15,100.00
898,MANINDS,EQ,28782,17661,61.36
899,MANINFRA,EQ,33842,26081,77.07
900,MANUGRAPH,EQ,88030,86526,98.29
901,MANXT50,EQ,652,629,96.47
902,MARALOVER,EQ,4130,2635,63.80
903,MARATHON,EQ,1348,893,66.25
904,MARICO,EQ,1595445,264616,16.59
905,MARINE,SM,8000,2000,25.00
906,MARKSANS,EQ,504632,269848,53.47
907,MARUTI,EQ,1935877,305869,15.80
908,MASFIN,EQ,3962,2496,63.00
909,MASTEK,EQ,6528,3168,48.53
910,MATRIMONY,EQ,13539,4558,33.67
911,MAWANASUG,EQ,133789,73560,54.98
912,MAXINDIA,EQ,154363,36768,23.82
913,MAXVIL,EQ,24449,22700,92.85
914,MAYURUNIQ,EQ,11581,7145,61.70
