Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
1,20MICRONS,EQ,17957,11387,63.41
2,21STCENMGM,EQ,27,27,100.00
3,3IINFOTECH,EQ,1883857,1146132,60.84
4,3MINDIA,EQ,1825,757,41.48
5,3PLAND,EQ,500,500,100.00
6,5PAISA,EQ,20000,11714,58.57
7,716GS2050,GS,100,100,100.00
8,719GS2060,GS,101,101,100.00
9,75GS2034,GS,220,220,100.00
10,A2ZINFRA,EQ,69393,50463,72.72
11,AAKASH,SM,6000,6000,100.00
12,AARTIDRUGS,EQ,158918,57448,36.15
13,AARTIIND,EQ,452080,141158,31.22
14,AARVEEDEN,EQ,4924,3716,75.47
15,AARVI,SM,4000,4000,100.00
16,AAVAS,EQ,13866,6353,45.82
17,ABB,EQ,126840,65853,51.92
18,ABBOTINDIA,EQ,9692,5044,52.04
19,ABCAPITAL,EQ,4304414,515350,11.97
20,ABFRL,EQ,3112451,866421,27.84
21,ABSLBANETF,EQ,821,495,60.29
22,ABSLNN50ET,EQ,196,140,71.43
23,ABSLRIF6RG,MF,5000,5000,100.00
24,ACC,EQ,1632263,273644,16.76
25,ACCELYA,EQ,2941,1340,45.56
26,ACE,EQ,79831,47676,59.72
27,ADANIENT,EQ,2449109,595562,24.32
28,ADANIGAS,EQ,4406548,1053958,23.92
29,ADANIGREEN,EQ,495551,322011,64.98
30,ADANIPORTS,EQ,3428549,891323,26.00
31,ADANIPOWER,EQ,13601869,3192369,23.47
32,ADANITRANS,EQ,575536,372146,64.66
33,ADFFOODS,EQ,94930,51864,54.63
34,ADHUNIKIND,EQ,48167,40242,83.55
35,ADORWELD,EQ,3243,1341,41.35
36,ADSL,EQ,11053,7910,71.56
37,ADVANIHOTR,EQ,2360,1392,58.98
38,ADVENZYMES,EQ,60991,35450,58.12
39,AEGISCHEM,EQ,62689,46244,73.77
40,AGARIND,EQ,35632,25126,70.52
41,AGROPHOS,EQ,40200,40200,100.00
42,AHLADA,SM,9000,4000,44.44
43,AHLEAST,EQ,4946,913,18.46
44,AHLUCONT,EQ,1930,1521,78.81
45,AIAENG,EQ,42951,35459,82.56
46,AIRAN,EQ,34872,24065,69.01
47,AJANTPHARM,EQ,225860,47553,21.05
48,AJMERA,EQ,32041,16218,50.62
49,AKSHARCHEM,EQ,14099,7723,54.78
50,AKSHOPTFBR,EQ,73483,48298,65.73
51,AKZOINDIA,EQ,5494,3022,55.01
52,ALANKIT,EQ,29615,21396,72.25
53,ALBERTDAVD,EQ,54574,18917,34.66
54,ALEMBICLTD,EQ,425885,222897,52.34
55,ALICON,EQ,454,340,74.89
56,ALKALI,EQ,5472,4221,77.14
57,ALKEM,EQ,94050,42525,45.22
58,ALKYLAMINE,EQ,61807,27306,44.18
59,ALLCARGO,EQ,47490,25847,54.43
60,ALLSEC,EQ,6252,5542,88.64
61,ALMONDZ,EQ,3839,3281,85.46
62,ALOKINDS,EQ,6739340,3743737,55.55
63,ALPA,EQ,21750,16066,73.87
64,ALPHAGEO,EQ,32570,23763,72.96
65,AMARAJABAT,EQ,4067306,228589,5.62
66,AMBER,EQ,57077,29953,52.48
67,AMBIKCO,EQ,1140,747,65.53
68,AMBUJACEM,EQ,6953579,2429612,34.94
69,AMDIND,EQ,14362,11948,83.19
70,AMJLAND,EQ,3980,3780,94.97
71,AMJUMBO,SM,16000,16000,100.00
72,AMRUTANJAN,EQ,37150,20597,55.44
73,ANANTRAJ,EQ,77112,42224,54.76
74,ANDHRAPAP,EQ,4776,2610,54.65
75,ANDHRSUGAR,EQ,25335,17814,70.31
76,ANKITMETAL,EQ,374,361,96.52
77,ANSALHSG,EQ,15549,12555,80.74
78,ANUP,EQ,8869,7870,88.74
79,APARINDS,EQ,3180,1473,46.32
80,APCL,EQ,14940,6682,44.73
81,APCOTEXIND,EQ,27839,14831,53.27
82,APEX,EQ,83989,35084,41.77
83,APLAPOLLO,EQ,37057,13407,36.18
84,APLLTD,EQ,808034,307043,38.00
85,APOLLO,EQ,79914,34447,43.11
86,APOLLOHOSP,EQ,775353,171684,22.14
87,APOLLOPIPE,EQ,42902,17877,41.67
88,APOLLOTYRE,EQ,6964251,821425,11.79
89,APOLSINHOT,EQ,268,23,8.58
90,APTECHT,EQ,119770,44018,36.75
91,ARCHIDPLY,EQ,6922,5134,74.17
92,ARENTERP,EQ,36,36,100.00
93,ARIES,EQ,17563,10637,60.56
94,ARIHANT,EQ,877,701,79.93
95,ARIHANTSUP,EQ,2354,1376,58.45
96,ARMANFIN,EQ,29669,17971,60.57
97,AROGRANITE,EQ,13415,11751,87.60
98,ARTEMISMED,EQ,1959,1224,62.48
99,ARVIND,EQ,2546666,449259,17.64
100,ARVINDFASN,EQ,316873,278147,87.78
101,ARVSMART,EQ,15166,11548,76.14
102,ASAHIINDIA,EQ,16393,6733,41.07
103,ASAHISONG,EQ,2411,1412,58.56
104,ASAL,EQ,6814,6625,97.23
105,ASALCBR,EQ,154794,77311,49.94
106,ASCOM,SM,4000,4000,100.00
107,ASHAPURMIN,EQ,75067,69262,92.27
108,ASHIANA,EQ,14441,10749,74.43
109,ASHOKA,EQ,111314,67294,60.45
110,ASHOKLEY,EQ,29579130,7329867,24.78
111,ASIANHOTNR,EQ,89283,39378,44.10
112,ASIANPAINT,EQ,5203737,1594454,30.64
113,ASIANTILES,EQ,59978,20405,34.02
114,ASTEC,EQ,224521,60523,26.96
115,ASTERDM,EQ,344142,134271,39.02
116,ASTRAL,EQ,68214,28691,42.06
117,ASTRAMICRO,EQ,56082,25573,45.60
118,ASTRAZEN,EQ,151730,28267,18.63
119,ASTRON,EQ,8425,7105,84.33
120,ATFL,EQ,1355,700,51.66
121,ATLANTA,EQ,42592,33500,78.65
122,ATUL,EQ,15476,8377,54.13
123,ATULAUTO,EQ,112183,107986,96.26
124,AUBANK,EQ,800996,534716,66.76
125,AURIONPRO,EQ,4610,2925,63.45
126,AUROPHARMA,EQ,5086125,782719,15.39
127,AUTOAXLES,EQ,19515,6456,33.08
128,AUTOLITIND,EQ,1037,794,76.57
129,AVADHSUGAR,EQ,54365,34876,64.15
130,AVANTIFEED,EQ,254636,104535,41.05
131,AVTNPL,EQ,54659,34079,62.35
132,AXISBANK,EQ,48368474,15450047,31.94
133,AXISCADES,EQ,24116,17194,71.30
134,AXISGOLD,EQ,1429,638,44.65
135,AXISNIFTY,EQ,11,11,100.00
136,AYMSYNTEX,EQ,10784,9640,89.39
137,BABAFOOD,SM,2000,2000,100.00
138,BAJAJ-AUTO,EQ,1328369,440828,33.19
139,BAJAJCON,EQ,98241,68753,69.98
140,BAJAJELEC,EQ,52133,15285,29.32
141,BAJAJFINSV,EQ,2725018,486592,17.86
142,BAJAJHIND,EQ,2351076,1421269,60.45
143,BAJAJHLDNG,EQ,194719,138407,71.08
144,BAJFINANCE,EQ,16195152,3491621,21.56
145,BALAJITELE,EQ,43262,31517,72.85
146,BALAMINES,EQ,86077,22160,25.74
147,BALKRISHNA,EQ,4906,4112,83.82
148,BALKRISIND,EQ,784410,178981,22.82
149,BALLARPUR,EQ,641302,584562,91.15
150,BALMLAWRIE,EQ,57504,33638,58.50
151,BALRAMCHIN,EQ,1282213,757868,59.11
152,BANARBEADS,EQ,1,1,100.00
153,BANARISUG,EQ,88,67,76.14
154,BANCOINDIA,EQ,54649,37763,69.10
155,BANDHANBNK,EQ,26939888,7670871,28.47
156,BANG,EQ,146,92,63.01
157,BANKBARODA,EQ,51975877,6483716,12.47
158,BANKBEES,EQ,1523636,530804,34.84
159,BANKINDIA,EQ,3541947,568000,16.04
160,BANSWRAS,EQ,14682,11200,76.28
161,BASF,EQ,75530,20116,26.63
162,BASML,EQ,428,288,67.29
163,BATAINDIA,EQ,1036091,223982,21.62
164,BAYERCROP,EQ,13577,8418,62.00
165,BBL,EQ,2527,1875,74.20
166,BBTC,EQ,15507,5788,37.33
167,BCG,EQ,1945525,1340900,68.92
168,BCONCEPTS,SM,6000,6000,100.00
169,BCP,EQ,23150,20641,89.16
170,BDL,EQ,32510,14664,45.11
171,BEARDSELL,EQ,4832,3860,79.88
172,BEDMUTHA,EQ,4149,4015,96.77
173,BEL,EQ,11478106,4315815,37.60
174,BEML,EQ,326443,54019,16.55
175,BEPL,EQ,201201,103552,51.47
176,BERGEPAINT,EQ,2053655,346456,16.87
177,BFINVEST,EQ,1841,756,41.06
178,BFUTILITIE,EQ,197597,147979,74.89
179,BGRENERGY,EQ,111136,62635,56.36
180,BHAGERIA,EQ,17666,7903,44.74
181,BHAGYANGR,EQ,1272,1086,85.38
182,BHAGYAPROP,EQ,250,250,100.00
183,BHANDARI,EQ,30620,14128,46.14
184,BHARATFORG,EQ,3357259,893665,26.62
185,BHARATRAS,EQ,712,457,64.19
186,BHARATWIRE,EQ,25955,22529,86.80
187,BHARTIARTL,EQ,11416299,3254632,28.51
188,BHEL,EQ,43983080,11541377,26.24
189,BIGBLOC,EQ,140,134,95.71
190,BIL,EQ,4067,2151,52.89
191,BILENERGY,EQ,857318,445121,51.92
192,BINDALAGRO,EQ,11483,9682,84.32
193,BIOCON,EQ,4965522,1423107,28.66
194,BIOFILCHEM,EQ,26874,21060,78.37
195,BIRLACABLE,EQ,16220,10569,65.16
196,BIRLACORPN,EQ,319256,185798,58.20
197,BIRLAMONEY,EQ,32816,17111,52.14
198,BLBLIMITED,EQ,11464,2861,24.96
199,BLISSGVS,EQ,53801,25788,47.93
200,BLS,EQ,16752,11314,67.54
201,BLUEDART,EQ,4047,2124,52.48
202,BLUESTARCO,EQ,45284,29034,64.12
203,BODALCHEM,EQ,259301,150109,57.89
204,BOHRA,ST,4000,4000,100.00
205,BOMDYEING,EQ,284515,111826,39.30
206,BORORENEW,EQ,66880,38044,56.88
207,BOSCHLTD,EQ,102227,13466,13.17
208,BPCL,EQ,8539075,2072938,24.28
209,BRIGADE,EQ,144716,84487,58.38
210,BRIGHT,SM,54000,45000,83.33
211,BRITANNIA,EQ,630580,271948,43.13
212,BRITANNIA,N2,12802,10812,84.46
213,BRNL,EQ,709,622,87.73
214,BSE,EQ,544827,225530,41.39
215,BSELINFRA,EQ,50,50,100.00
216,BSHSL,SM,1200,1200,100.00
217,BSL,EQ,947,491,51.85
218,BSLGOLDETF,EQ,827,738,89.24
219,BSLNIFTY,EQ,179,142,79.33
220,BSOFT,EQ,1383771,611315,44.18
221,BURNPUR,EQ,10168,10168,100.00
222,BUTTERFLY,EQ,23763,13630,57.36
223,BYKE,EQ,43525,23042,52.94
224,CADILAHC,EQ,4851553,825238,17.01
225,CAMLINFINE,EQ,110903,70508,63.58
226,CANBK,EQ,12424368,890341,7.17
227,CANFINHOME,EQ,294130,88567,30.11
228,CANTABIL,EQ,28872,5177,17.93
229,CAPACITE,EQ,19913,11545,57.98
230,CAPLIPOINT,EQ,31234,19312,61.83
231,CAPTRUST,EQ,1344,1212,90.18
232,CARBORUNIV,EQ,31504,23856,75.72
233,CAREERP,EQ,24872,19814,79.66
234,CARERATING,EQ,57021,27451,48.14
235,CASTROLIND,EQ,565157,223496,39.55
236,CCL,EQ,20651,14674,71.06
237,CDSL,EQ,359102,144025,40.11
238,CEATLTD,EQ,181831,22446,12.34
239,CEBBCO,EQ,17295,13185,76.24
240,CELEBRITY,EQ,7911,4455,56.31
241,CENTENKA,EQ,8343,6990,83.78
242,CENTEXT,EQ,24233,18452,76.14
243,CENTRALBK,EQ,777505,346679,44.59
244,CENTRUM,EQ,75230,54783,72.82
245,CENTUM,EQ,1303,934,71.68
246,CENTURYPLY,EQ,301333,189876,63.01
247,CENTURYTEX,EQ,1822006,392030,21.52
248,CERA,EQ,883,694,78.60
249,CESC,EQ,745432,135137,18.13
