SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
SATIN,EQ,SATIN CREDIT NET LTD,H
SCAPDVR,BE,STAMPEDE CAPITAL LIMITED,H
SETUINFRA,BE,SETUBANDHAN INFRA LTD,H
SHANTIGEAR,EQ,SHANTHI GEARS LTD,H
SHREDIGCEM,EQ,SHREE DIGVIJAY CEM CO LTD,H
SHREERAMA,EQ,SHREE RAMA MULTI TECH LTD,H
SHYAMCENT,EQ,SHYAM CENTURY FERROUS LTD,H
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES L,H
SINTEX,EQ,SINTEX INDUSTRIES LTD,H
SITINET,BE,SITI NETWORKS LIMITED,H
SKIL,BE,SKIL INFRASTRUCTURE LTD.,H
SPTL,BE,SINTEX PLASTICS TECH LTD,H
SUBEX,EQ,SUBEX LIMITED,H
SUMEETINDS,EQ,SUMEET IND LIMITED,H
SUNDARAM,EQ,SUNDARAM MULTI PAP LTD,H
SUPERSPIN,BE,SUPER SPINNING MILLS LTD,H
SUVEN,EQ,SUVEN LIFE SCIENCES LTD,H
SUZLON,EQ,SUZLON ENERGY LIMITED,H
SWSOLAR,EQ,STERLING & WILSON SO LTD,H
SYNCOM,BE,SYNCOM HEALTHCARE LTD,H
TALWALKARS,BZ,TALWALKAR FITNESS LTD,H
TCPLPACK,EQ,TCPL PACKAGING LIMITED,H
THEINVEST,EQ,THE INVEST TRUST OF IND L,H
THEJO,SM,THEJO ENGINEERING LIMITED,H
TRANSWIND,SM,TRANSWIND INFRA LIMITED,H
TRIVENI,EQ,TRIVENI ENGG. & INDS. LTD,H
TTML,BE,TATA TELESERV(MAHARASTRA),H
TVVISION,BE,TV VISION LIMITED,H
UJAAS,EQ,UJAAS ENERGY LIMITED,H
UMESLTD,BE,USHA MARTIN EDU & SOL LTD,H
UNIINFO,SM,UNIINFOTELECOMSERVILTD,H
UNITY,BZ,UNITY INFRAPROJECTS LTD,H
URJA,BE,URJA GLOBAL LIMITED,H
VARDMNPOLY,BE,VARDHMAN POLYTEX LTD.,H
VASWANI,EQ,VASWANI IND LTD,H
VENUSREM,BE,VENUS REMEDIES LIMITED,H
VICEROY,BE,VICEROY HOTELS LIMITED,H
VIDEOIND,BZ,VIDEOCON INDUSTRIES LIMIT,H
VIKASECO,EQ,VIKAS ECOTECH LIMITED,H
VIKASMCORP,BE,VIKAS MULTICORP LIMITED,H
VIKASPROP,EQ,VIKAS PROP & GRANITE LTD,H
VIKASWSP,EQ,VIKAS WSP LIMITED,H
VISASTEEL,BE,VISA STEEL LIMITED,H
WANBURY,BE,WANBURY LIMITED,H
WEBELSOLAR,BE,WEBSOL ENERGY SYSTEM LTD,H
WFL,SM,WONDER FIBROMATS LIMITED,H
WILLAMAGOR,EQ,WILLIAMSON MAGOR,H
WINDMACHIN,BE,WINDSOR MACHINES LIMITED,H
WOCKPHARMA,EQ,WOCKHARDT LIMITED,H
XCHANGING,EQ,XCHANGING SOLUTIONS LTD,H
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,L
3IINFOTECH,EQ,3I INFOTECH LTD.,L
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,L
AHLWEST,BE,ASIAN HOTELS (WEST) LTD,L
ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD,L
ALOKINDS,EQ,ALOK INDUSTRIES LIMITED,L
AMJUMBO,SM,A AND M JUMBO BAGS LTD,L
ANIKINDS,BE,ANIK INDUSTRIES LTD,L
ARCHIES,BE,ARCHIES LTD,L
ARCOTECH,BE,ARCOTECH LIMITED,L
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LTD,L
ARSHIYA,BE,ARSHIYA LIMITED,L
ARSSINFRA,BE,ARSS INFRA PROJ. LTD,L
ASHIMASYN,BE,ASHIMA LTD,L
ATLANTA,EQ,ATLANTA LIMITED,L
AUTOIND,BE,AUTOLINE INDUSTRIES LTD,L
BAGFILMS,BE,B.A.G FILMS AND MEDIA LTD,L
BALLARPUR,EQ,BALLARPUR INDUSTRIES LTD,L
BANG,EQ,BANG OVERSEAS LTD.,L
BCP,EQ,B.C. POWER CONTROLS LTD,L
BEARDSELL,EQ,BEARDSELL LIMITED,L
BFUTILITIE,EQ,BF UTILITIES LIMITED,L
BHANDARI,EQ,BHANDARI HOSIERY EXP LTD,L
BILENERGY,EQ,BIL ENERGY SYSTEMS LTD,L
BIOFILCHEM,EQ,BIOFIL CHEM & PHARMA LTD,L
BKMINDST,BE,BKM INDUSTRIES LIMITED,L
BLKASHYAP,BE,B.L.KASHYAP & SON LTD,L
BRFL,BE,BOMBAY RAYON FASHIONS LTD,L
BRIGHT,SM,BRIGHT SOLAR LIMITED,L
BROOKS,BE,BROOKS LAB LIMITED,L
CALSOFT,BE,CALIFORNIA SOFTWARE CO LT,L
CAPTRUST,EQ,CAPITAL TRUST LIMITED,L
CASTEXTECH,BE,CASTEX TECHNOLOGIES LTD.,L
CCHHL,BE,COUNTRY CLUB HOSP HOL LTD,L
CINEVISTA,BE,CINEVISTA LIMITED,L
CKFSL,BZ,COX & KINGS FIN SERV LTD,L
COMPUSOFT,BE,COMPUCOM SOFTWARE LTD,L
COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,L
COX&KINGS,BZ,COX & KINGS LIMITED,L
CREST,EQ,CREST VENTURES LIMITED,L
CUBEXTUB,BE,CUBEXTUBINGS-ROLLSETT,L
DGCONTENT,EQ,DIGICONTENT LIMITED,L
DHARSUGAR,BE,DHARANISUGARS &CHEMICALS,L
DHFL,EQ,DEWAN HOUSING FIN CORP LT,L
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,L
DNAMEDIA,BE,DILIGENT MEDIA CORP LTD.,L
DQE,BE,DQ ENTERTAINMENT INT LTD,L
EBIXFOREX,BE,EBIXCASH WRLD MONEY IND,L
EMAMIREAL,EQ,EMAMI REALTY LIMITED,L
EMCO,BZ,EMCO LIMITED,L
ENERGYDEV,BE,ENERGY DEVE. CO.LTD,L
EROSMEDIA,EQ,EROS INTL MEDIA LTD,L
ESSARSHPNG,BE,ESSAR SHIPPING LTD,L
EUROCERA,BZ,EURO CERAMICS LTD.,L
FEL,EQ,FUTURE ENTERPRISES LTD,L
FELDVR,EQ,FUTURE ENTERPRISES LTD,L
FLEXITUFF,BE,FLEXITUFF VENTURES INT L,L
FOURTHDIM,SZ,FOURTH DIMEN. SOLUT. LTD,L
GABRIEL,EQ,GABRIEL INDIA LTD,L
GAL,EQ,GYSCOAL ALLOYS LTD,L
GAMMNINFRA,EQ,GAMMON INFRA PROJ LTD.,L
GARDENSILK,EQ,GARDEN SILK MILLS LTD,L
GBGLOBAL,BE,GB GLOBAL LIMITED,L
GENESYS,EQ,GENESYS INTL CORPN LTD,L
GFSTEELS,BE,GRAND FOUNDRY LTD,L
GODHA,SM,GODHA CABCON INSULAT LTD,L
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,L
GTNIND,EQ,GTN INDUSTRIES LIMITED,L
GTNTEX,BE,GTN TEXTILES LIMITED,L
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,L
HILTON,EQ,HILTON METAL FORGING LTD,L
HOTELRUGBY,BE,HOTEL RUGBY LTD,L
HOVS,BE,HOV SERVICES LTD,L
HTMEDIA,BE,HT MEDIA LIMITED,L
HUBTOWN,BE,HUBTOWN LIMITED,L
IBVENTURES,EQ,INDIABULLS VENTURES LTD,L
ICIL,EQ,INDO COUNT INDUSTRIES LTD,L
IIFLSEC,EQ,IIFL SECURITIES LIMITED,L
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,L
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,L
IMAGICAA,BE,IMAGICAAWORLD ENT LTD,L
INDSWFTLAB,BE,IND SWIFT LABORATORIES LT,L
INDSWFTLTD,BE,IND-SWIFT LIMITED,L
INFOBEAN,BE,INFOBEANS TECHNO. LTD.,L
INNOVANA,SM,INNOVANA THINKLABS LTD.,L
JETAIRWAYS,BZ,JET AIRWAYS (INDIA) LTD.,L
JIKIND,BE,JIK INDUSTRIES LTD,L
JINDALPHOT,BE,JINDAL PHOTO LIMITED,L
JISLDVREQS,BE,JAIN DVR EQUITY SHARES,L
JMCPROJECT,EQ,JMC PROJECTS (I) LTD.,L
JPASSOCIAT,EQ,JAIPRAKASH ASSOCIATES LTD,L
JPINFRATEC,BE,JAYPEE INFRATECH LTD,L
JPPOWER,BE,JAIPRAKASH POWER VEN. LTD,L
JUBLINDS,EQ,JUBILANT INDUSTRIES LTD,L
JVLAGRO,BZ,JVL AGRO INDUSTRIES LTD,L
KANANIIND,BE,KANANI INDUSTRIES LTD,L
KELLTONTEC,EQ,KELLTON TECH SOL LTD,L
KERNEX,BE,KERNEX MICROSYS(I) LTD,L
KEYFINSERV,BE,KEYNOTE FIN SERV LTD.,L
KHANDSE,EQ,KHANDWALA SECURITIES LTD,L
KPITTECH,EQ,KPIT TECHNOLOGIES LIMITED,L
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,L
KSK,EQ,KSK ENERGY VENTURES LTD,L
KWALITY,BE,KWALITY LIMITED,L
LEMONTREE,EQ,LEMON TREE HOTELS LTD,L
LEXUS,SM,LEXUS GRANITO (INDIA) LTD,L
LPDC,BE,LANDMARK PR.DEV.CO.LTD,L
LSIL,EQ,LLOYDS STEELS IND. LTD.,L
MADHUCON,BE,MADHUCON PROJECTS LTD.,L
MAGNUM,BE,MAGNUM VENTURES LTD.,L
MAHAPEXLTD,BE,MAHA RASHTRA APEX COPR. L,L
MANGALAM,BE,MANGALAM DRUG & CHEM LTD,L
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,L
MARALOVER,EQ,MARAL OVERSEAS LTD,L
MBLINFRA,BE,MBL INFRASTRUCTURES LTD,L
MCLEODRUSS,BE,MCLEOD RUSSEL INDIA LTD.,L
MELSTAR,BZ,MELSTAR INFORMATION TECH,L
METALFORGE,BE,METALYST FORGINGS LIMITED,L
METKORE,BZ,METKORE ALLOYS & IND LTD,L
MODIRUBBER,BE,MODI RUBBER LTD,L
MPSLTD,EQ,MPS LIMITED,L
MPTODAY,SM,M P TODAY MEDIA LIMITED,L
MSPL,BE,MSP STEEL & POWER LTD.,L
MUKANDENGG,BE,MUKAND ENGINEERS LIMITED,L
NDTV,EQ,NDTV LTD,L
NIBL,BE,NRB INDUS. BEARINGS LTD.,L
NILASPACES,EQ,NILA SPACES LIMITED,L
NITINFIRE,BZ,NITIN FIRE PROT IND. LTD.,L
NOIDATOLL,EQ,NOIDA TOLL BRIDGE CO LTD,L
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,L
OPTOCIRCUI,BE,OPTO CIRCUITS (I) LTD,L
ORTINLABSS,BE,ORTIN LABORATORIES LTD,L
PALASHSECU,EQ,PALASH SECURITIES LTD,L
