MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,GIPCL,GUJ IND POW CO. LTD,        54.90,        54.40,        55.80,        54.30,        55.45,                  1613366.85,29253,N, ,303,        86.90,        44.25
N,EQ,GKWLIMITED,GKW LIMITED,       440.00,       440.00,       523.00,       440.00,       463.55,                   529401.45,1133,N, ,82,       825.00,       368.75
N,EQ,GLAXO,GLAXOSMITHKLINE PHARMA LT,      1386.00,      1387.00,      1398.70,      1363.45,      1373.70,                 51704657.15,37627,N, ,3531,      1748.00,       962.65
N,EQ,GLENMARK,GLENMARK PHARMACEUTICALS,       332.35,       333.10,       350.00,       331.45,       343.70,                860132586.90,2539368,N, ,33265,       596.30,       161.65
N,SM,GLOBAL,GLOBAL EDUCATION LIMITED,        69.65,        73.10,        73.10,        73.10,        73.10,                    73100.00,1000,N, ,1,       134.95,        41.20
N,EQ,GLOBALVECT,GLOBAL VEC HELICORP LTD,        47.15,        47.75,        47.75,        43.70,        46.05,                   805486.55,17591,N, ,361,        69.60,        28.95
G,EQ,GLOBOFFS,GLOBAL OFFSHORE SERV LTD,         3.30,         3.00,         3.10,         3.00,         3.10,                     2301.90,749,N, ,5,        11.50,         2.65
N,EQ,GLOBUSSPR,GLOBUS SPIRITS LTD,        90.95,        92.70,        92.85,        90.75,        91.75,                  2370045.20,25844,N, ,724,       160.90,        60.75
N,EQ,GMBREW,G M BREWERIES LTD,       383.20,       383.55,       389.55,       382.55,       385.70,                 15258919.15,39505,N, ,1579,       547.30,       221.05
N,EQ,GMDCLTD,GUJARAT MINERAL DEV CORP,        34.90,        34.90,        35.30,        34.85,        35.00,                  8345005.20,237835,N, ,2410,        84.10,        29.10
N,EQ,GMMPFAUDLR,GMM PFAUDLER LIMITED,      3498.35,      3500.00,      3539.95,      3476.65,      3511.75,                 50928302.45,14476,N, ,3096,      4090.00,      1110.00
N,EQ,GMRINFRA,GMR INFRASTRUCTURE LTD.,        17.25,        17.20,        17.45,        16.90,        17.30,                 98256705.45,5727882,N, ,13874,        26.50,        14.05
N,EQ,GNA,GNA AXLES LIMITED,       177.70,       172.50,       213.20,       171.00,       195.15,                 58231894.30,302507,N, ,5710,       324.85,       126.15
N,EQ,GNFC,GUJ NAR VAL FER & CHEM L,       132.55,       132.20,       134.10,       131.40,       131.75,                 51049436.45,385879,N, ,9375,       325.70,        95.55
N,EQ,GOCLCORP,GOCL CORPORATION LIMITED,       139.25,       146.00,       146.00,       138.45,       140.40,                    71266.85,507,N, ,109,       349.00,       107.95
N,EQ,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,       930.25,       926.50,       940.00,       922.10,       926.90,                 48124768.30,51835,N, ,4093,      1481.75,       673.30
N,SM,GODHA,GODHA CABCON INSULAT LTD,        29.35,        27.90,        27.90,        27.90,        27.90,                   111600.00,4000,N, ,1,        30.85,        10.95
N,EQ,GODREJAGRO,GODREJ AGROVET LIMITED,       356.75,       356.70,       358.80,       350.05,       354.50,                 28506971.60,80509,N, ,5840,       598.00,       265.05
N,EQ,GODREJIND,GODREJ INDUSTRIES LTD,       253.65,       254.00,       257.95,       250.20,       251.45,                 32695517.95,128719,N, ,5083,       509.00,       233.40
N,EQ,GODREJPROP,GODREJ PROPERTIES LTD,       584.60,       581.00,       601.95,       577.05,       596.65,                329904300.90,556895,N, ,25278,      1189.25,       505.00
N,EQ,GOKEX,GOKALDAS EXPORTS LTD.,        28.80,        29.75,        29.75,        28.80,        28.95,                  1200821.10,41431,N, ,253,       119.05,        27.80
N,EQ,GOKUL,GOKUL REFOILS & SOLV LTD,         9.75,         9.55,        10.25,         9.45,         9.75,                    37150.75,3751,N, ,62,        17.25,         7.50
N,EQ,GOKULAGRO,GOKUL AGRO RESOURCES LTD,        10.35,        10.30,        10.60,        10.20,        10.40,                    49113.95,4714,N, ,105,        18.45,         7.60
N,EQ,GOLDENTOBC,GOLDEN TOBACCO LIMITED,        22.30,        22.30,        22.70,        21.60,        21.75,                    28516.25,1301,N, ,50,        40.00,        18.60
N,EQ,GOLDIAM,GOLDIAM INTERNATIONAL LTD,        81.60,        82.85,        82.90,        80.70,        82.05,                   605902.15,7411,N, ,180,       184.80,        72.20
N,EQ,GOLDTECH,GOLDSTONE TECHNOLOGIES LT,         8.75,         8.75,         8.90,         8.05,         8.80,                    28707.05,3318,N, ,46,        15.50,         5.10
N,EQ,GOODLUCK,GOODLUCK INDIA LIMITED,        27.70,        28.00,        28.30,        27.25,        27.60,                  1146463.90,41463,N, ,202,        77.50,        20.65
N,EQ,GPIL,GODAWARI POW & ISP LTD,       109.75,       111.90,       111.90,       106.40,       108.00,                  8848005.85,81835,N, ,962,       279.00,        80.50
N,EQ,GPPL,GUJARAT PIPAVAV PORT LTD,        55.75,        55.40,        57.75,        55.35,        57.25,                 12343510.65,217158,N, ,3977,        99.40,        45.50
N,EQ,GPTINFRA,GPT INFRAPROJECTS LTD,        16.40,        16.00,        16.85,        16.00,        16.40,                    28196.00,1714,N, ,31,        61.00,        11.75
N,EQ,GRANULES,GRANULES INDIA LIMITED,       165.25,       166.90,       174.50,       166.50,       171.75,                801811898.40,4678236,N, ,48549,       189.00,        84.00
N,EQ,GRAPHITE,GRAPHITE INDIA LTD,       179.25,       181.00,       186.00,       178.00,       182.40,                 47102473.05,258293,N, ,8227,       458.45,       103.00
N,EQ,GRAVITA,GRAVITA INDIA LIMITED,        32.35,        32.15,        33.00,        32.10,        32.95,                   392446.90,11963,N, ,117,        73.75,        30.20
N,EQ,GREAVESCOT,GREAVES COTTON LTD.,        74.25,        74.05,        75.30,        73.20,        73.40,                  5441929.65,73753,N, ,1881,       156.85,        66.05
N,EQ,GREENLAM,GREENLAM INDUSTRIES LTD.,       565.00,       565.00,       593.25,       564.00,       588.00,                   604309.00,1039,N, ,180,      1049.00,       441.90
N,EQ,GREENPANEL,GREENPANEL INDUSTRIES LTD,        24.80,        25.75,        25.75,        24.00,        24.85,                  1579762.30,64776,N, ,263,        61.10,        24.00
N,EQ,GREENPLY,GREENPLY INDUSTRIES LTD,        86.80,        88.50,        88.50,        83.75,        84.45,                  8107437.20,95739,N, ,2285,       194.90,        72.90
N,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,         2.20,         2.30,         2.30,         2.30,         2.30,                   161782.00,70340,N, ,61,         5.75,         1.20
N,EQ,GRINDWELL,GRINDWELL NORTON LIMITED,       471.50,       474.05,       484.50,       472.00,       480.20,                  2081670.85,4340,N, ,400,       698.00,       373.55
N,EQ,GROBTEA,THE GROB TEA COMPANY LTD,       326.50,       327.00,       338.15,       326.50,       338.15,                     2986.60,9,N, ,4,       613.90,       210.30
N,EQ,GRPLTD,GRP LIMITED,       629.85,       628.00,       649.00,       612.00,       639.20,                    94946.15,149,N, ,42,      1099.00,       462.50
N,EQ,GRSE,GARDEN REACH SHIP&ENG LTD,       137.60,       136.65,       139.55,       136.15,       138.80,                  7855512.80,56774,N, ,1390,       249.00,       102.00
N,EQ,GSCLCEMENT,GUJARAT SIDHEE CEM. LTD.,        24.20,        25.65,        26.30,        23.50,        25.10,                 15426551.85,613187,N, ,2263,        28.65,        12.50
N,EQ,GSFC,GUJ STATE FERT & CHEM LTD,        40.85,        40.50,        41.25,        40.20,        40.80,                  6376207.05,156238,N, ,1449,       110.65,        29.80
N,EQ,GSPL,GUJARAT STATE PETRO LTD,       185.70,       186.25,       188.30,       183.00,       186.75,                109530517.90,591780,N, ,8312,       263.80,       146.15
N,EQ,GSS,GSS INFOTECH LIMITED,        20.55,        20.60,        21.00,        20.05,        20.80,                   201893.00,9731,N, ,105,       144.80,        18.50
N,EQ,GTNIND,GTN INDUSTRIES LIMITED,         6.40,         6.20,         6.60,         6.10,         6.50,                      858.40,139,N, ,12,        11.35,         4.90
N,EQ,GTPL,GTPL HATHWAY LIMITED,        42.75,        42.80,        43.60,        42.00,        42.05,                   985727.25,23228,N, ,258,        95.80,        32.35
N,EQ,GUFICBIO,GUFIC BIOSCIENCES LTD.,        51.50,        51.00,        56.40,        50.00,        51.35,                 20925605.40,408061,N, ,3928,        87.00,        37.00
N,EQ,GUJALKALI,GUJARAT ALKALIES & CHEM,       314.45,       315.80,       324.80,       308.00,       318.70,                 26094350.25,82841,N, ,2789,       595.00,       180.10
N,EQ,GUJAPOLLO,GUJ. APOLLO IND. LTD.,       143.75,       144.00,       147.00,       138.00,       141.45,                   883295.35,6276,N, ,259,       200.00,        95.00
N,EQ,GUJGASLTD,GUJARAT GAS LIMITED,       243.60,       250.20,       250.20,       241.30,       249.65,                 72687851.30,293372,N, ,8257,       313.80,       154.50
N,EQ,GULFOILLUB,GULF OIL LUB. IND. LTD.,       563.40,       560.10,       565.45,       556.60,       560.65,                  1257666.15,2240,N, ,258,       909.95,       455.00
N,EQ,GULFPETRO,GP PETROLEUMS LIMITED,        41.50,        42.00,        49.00,        41.00,        46.90,                  3807025.10,83795,N, ,758,        65.05,        24.45
N,EQ,GULPOLY,GULSHAN POLYOLS LIMITED,        25.80,        26.00,        26.00,        25.20,        25.60,                    59481.50,2327,N, ,31,        56.35,        19.60
N,EQ,GVKPIL,GVK POW. & INFRA LTD.,         2.60,         2.65,         2.65,         2.60,         2.60,                  1926863.20,735456,N, ,638,         7.90,         2.00
N,EQ,HAL,HINDUSTAN AERONAUTICS LTD,       527.70,       521.00,       534.20,       510.15,       530.55,                 20483607.55,38909,N, ,3573,       895.90,       470.00
N,EQ,HARITASEAT,HARITA SEATING SYS. LTD,       351.10,       348.40,       373.00,       348.40,       367.50,                  1010796.00,2775,N, ,129,       533.85,       285.60
N,EQ,HARRMALAYA,HARRISON MALAYALAM LTD,        57.25,        57.95,        57.95,        56.75,        57.10,                   664991.25,11631,N, ,256,        75.80,        44.00
N,EQ,HATHWAY,HATHWAY CABLE & DATACOM,        25.35,        25.35,        25.80,        23.70,        24.30,                 36780020.55,1513094,N, ,6313,        38.45,        10.50
N,EQ,HATSUN,HATSUN AGRO PRODUCT LTD.,       517.45,       507.60,       520.00,       507.60,       516.55,                  7270335.75,14222,N, ,552,       775.00,       380.00
N,EQ,HBLPOWER,HBL POWER SYSTEMS LTD.,        11.90,        11.90,        12.00,        11.05,        11.65,                   678835.15,58465,N, ,327,        29.25,         9.30
G,EQ,HBSL,HB STOCKHOLDINGS LIMITED,         6.20,         5.90,         6.20,         5.90,         6.20,                      133.10,22,N, ,3,         9.20,         5.30
N,EQ,HCC,HINDUSTAN CONSTRUCTION CO,         4.40,         4.35,         4.45,         4.30,         4.35,                  2827373.50,650189,N, ,937,        13.55,         3.60
N,EQ,HCG,HEALTHCARE GLOB. ENT. LTD,       103.90,       104.00,       104.90,       100.50,       102.25,                 15425293.25,149417,N, ,1471,       208.70,        62.05
