Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2019-08-22,TCS,2187.0,2235.65,2170.0,2216.0,2131601,923535,2213.54
2019-08-23,TCS,2214.95,2259.9,2213.9,2247.7,2826425,1480086,2244.15
2019-08-26,TCS,2247.0,2282.0,2225.0,2276.3,2345475,1140315,2259.83
2019-08-27,TCS,2270.0,2274.85,2229.0,2236.5,3432106,2396488,2241.51
2019-08-28,TCS,2240.0,2252.15,2216.0,2239.25,1294621,538431,2233.18
2019-08-29,TCS,2222.2,2248.2,2222.2,2233.45,1670652,761633,2235.21
2019-08-30,TCS,2241.0,2266.0,2218.0,2259.6,2583625,1472256,2241.92
2019-09-03,TCS,2270.0,2296.2,2236.95,2251.6,2545060,1257157,2275.88
2019-09-04,TCS,2265.0,2270.0,2233.0,2245.4,2228092,1359618,2248.41
2019-09-05,TCS,2242.2,2253.65,2207.3,2215.3,2055943,1200345,2225.26
2019-09-06,TCS,2216.0,2233.5,2192.6,2197.5,1890550,853437,2204.18
2019-09-09,TCS,2200.0,2202.85,2179.8,2182.85,1703945,677662,2188.09
2019-09-11,TCS,2186.0,2195.0,2146.55,2154.0,2627440,1433413,2162.64
2019-09-12,TCS,2155.0,2165.0,2120.35,2133.6,2118859,1080259,2135.46
2019-09-13,TCS,2135.0,2157.95,2115.55,2141.95,2291174,873724,2135.83
2019-09-16,TCS,2159.95,2173.4,2126.4,2150.0,2597948,1165596,2151.17
2019-09-17,TCS,2154.95,2156.55,2105.6,2122.65,2796530,1594628,2123.78
2019-09-18,TCS,2126.4,2142.95,2113.15,2138.55,1454663,674870,2133.02
2019-09-19,TCS,2135.0,2135.8,2091.0,2101.95,1652691,791932,2103.74
2019-09-20,TCS,2104.9,2129.4,2057.0,2065.45,6941979,4570451,2083.7
2019-09-23,TCS,2099.0,2099.0,1975.0,2015.8,6323401,3672464,2011.62
2019-09-24,TCS,2015.0,2061.0,2013.0,2044.7,4620978,2506661,2045.07
2019-09-25,TCS,2065.0,2092.0,2060.05,2088.45,4002232,2508929,2077.98
2019-09-26,TCS,2097.9,2107.0,2063.0,2087.6,4234281,2698499,2084.45
2019-09-27,TCS,2085.0,2085.2,2051.4,2056.15,2046795,1044628,2065.56
2019-09-30,TCS,2061.85,2104.0,2060.0,2099.3,2620039,1414661,2090.07
2019-10-01,TCS,2095.95,2095.95,2039.7,2059.95,3342877,2098408,2059.04
2019-10-03,TCS,2070.0,2081.15,2046.15,2060.25,2317618,1389047,2065.47
2019-10-04,TCS,2060.6,2087.95,2054.95,2079.35,2163251,1442042,2079.28
2019-10-07,TCS,2080.0,2094.5,2041.0,2047.7,2177916,1162115,2062.27
2019-10-09,TCS,2060.0,2060.0,2015.5,2020.1,2066920,984558,2026.43
2019-10-10,TCS,2028.0,2039.05,1997.1,2004.45,2881452,959388,2015.15
